nuts2_code_2016,nuts2_code_2021,change_type,n_predecessor_regions,region_name
BE31,BE31,unchanged,1,
BE32,BE32,unchanged,1,
BE33,BE33,unchanged,1,
BE34,BE34,unchanged,1,
CH05,CH05,unchanged,1,
CH06,CH06,unchanged,1,
CH07,CH07,unchanged,1,
CY00,CY00,unchanged,1,
CZ01,CZ01,unchanged,1,
CZ02,CZ02,unchanged,1,
CZ03,CZ03,unchanged,1,
CZ04,CZ04,unchanged,1,
CZ05,CZ05,unchanged,1,
CZ06,CZ06,unchanged,1,
CZ07,CZ07,unchanged,1,
CZ08,CZ08,unchanged,1,
DE11,DE11,unchanged,1,
DE12,DE12,unchanged,1,
DE13,DE13,unchanged,1,
DE14,DE14,unchanged,1,
DE21,DE21,unchanged,1,
DE22,DE22,unchanged,1,
DE23,DE23,unchanged,1,
DE24,DE24,unchanged,1,
DE25,DE25,unchanged,1,
DE26,DE26,unchanged,1,
DE27,DE27,unchanged,1,
DE30,DE30,unchanged,1,
DE40,DE40,unchanged,1,
DE50,DE50,unchanged,1,
DE60,DE60,unchanged,1,
DE71,DE71,unchanged,1,
DE72,DE72,unchanged,1,
DE73,DE73,unchanged,1,
DE80,DE80,unchanged,1,
DE91,DE91,unchanged,1,
DE92,DE92,unchanged,1,
DE93,DE93,unchanged,1,
DE94,DE94,unchanged,1,
DEA1,DEA1,unchanged,1,
DEA2,DEA2,unchanged,1,
DEA3,DEA3,unchanged,1,
DEA4,DEA4,unchanged,1,
DEA5,DEA5,unchanged,1,
FRG0,FRG0,unchanged,1,
FRH0,FRH0,unchanged,1,
PL21,PL21,unchanged,1,
PL22,PL22,unchanged,1,
PL41,PL41,unchanged,1,
PL42,PL42,unchanged,1,
PL43,PL43,unchanged,1,
PL51,PL51,unchanged,1,
PL52,PL52,unchanged,1,
PL61,PL61,unchanged,1,
PL62,PL62,unchanged,1,
AL01,AL01,unchanged,1,
AL02,AL02,unchanged,1,
AL03,AL03,unchanged,1,
AT11,AT11,unchanged,1,
AT12,AT12,unchanged,1,
AT13,AT13,unchanged,1,
AT21,AT21,unchanged,1,
AT22,AT22,unchanged,1,
AT31,AT31,unchanged,1,
AT32,AT32,unchanged,1,
AT33,AT33,unchanged,1,
AT34,AT34,unchanged,1,
BE10,BE10,unchanged,1,
BE21,BE21,unchanged,1,
BE22,BE22,unchanged,1,
BE23,BE23,unchanged,1,
BE24,BE24,unchanged,1,
BE25,BE25,unchanged,1,
ITH4,ITH4,unchanged,1,
ITH5,ITH5,unchanged,1,
ITI1,ITI1,unchanged,1,
ITI2,ITI2,unchanged,1,
BE35,BE35,unchanged,1,
BG31,BG31,unchanged,1,
BG32,BG32,unchanged,1,
BG33,BG33,unchanged,1,
BG34,BG34,unchanged,1,
BG41,BG41,unchanged,1,
BG42,BG42,unchanged,1,
CH01,CH01,unchanged,1,
CH02,CH02,unchanged,1,
CH03,CH03,unchanged,1,
CH04,CH04,unchanged,1,
PL81,PL81,unchanged,1,
PL82,PL82,unchanged,1,
PL84,PL84,unchanged,1,
PL91,PL91,unchanged,1,
PL92,PL92,unchanged,1,
PT11,PT11,unchanged,1,
PT15,PT15,unchanged,1,
PT16,PT16,unchanged,1,
PT17,PT17,unchanged,1,
PT18,PT18,unchanged,1,
PT20,PT20,unchanged,1,
PT30,PT30,unchanged,1,
TR22,TR22,unchanged,1,
